CustomerKey;GeographyKey;Name;Age;MaritalStatus;Gender;YearlyIncome;TotalChildren;ChildrenAtHome;Education;Occupation;HouseOwnerFlag;NumberCarsOwned;DateFirstPurchase;CommuteDistance
11000;26;Jon Yang;53;Married;Male;90000,00;2;0;Bachelors;Professional;1;0;2021-01-19;1-2 Miles
11001;37;Eugene Huang;48;Single;Male;60000,00;3;3;Bachelors;Professional;0;1;2021-01-15;0-1 Miles
11002;31;Ruben Torres;53;Married;Male;60000,00;3;3;Bachelors;Professional;1;1;2021-01-07;2-5 Miles
11003;11;Christy Zhu;51;Single;Female;70000,00;0;0;Bachelors;Professional;0;1;2020-12-29;5-10 Miles
11004;19;Elizabeth Johnson;45;Single;Female;80000,00;5;5;Bachelors;Professional;1;4;2021-01-23;1-2 Miles
11005;22;Julio Ruiz;48;Single;Male;70000,00;0;0;Bachelors;Professional;1;1;2020-12-30;5-10 Miles
11006;8;Janet Alvarez;48;Single;Female;70000,00;0;0;Bachelors;Professional;1;1;2021-01-24;5-10 Miles
11007;40;Marco Mehta;55;Married;Male;60000,00;3;3;Bachelors;Professional;1;2;2021-01-09;0-1 Miles
11008;32;Rob Verhoff;49;Single;Female;60000,00;4;4;Bachelors;Professional;1;3;2021-01-25;10+ Miles
11009;25;Shannon Carlson;55;Single;Male;70000,00;0;0;Bachelors;Professional;0;1;2021-01-27;5-10 Miles
11010;22;Jacquelyn Suarez;55;Single;Female;70000,00;0;0;Bachelors;Professional;0;1;2021-01-14;5-10 Miles
11011;22;Curtis Lu;55;Married;Male;60000,00;4;4;Bachelors;Professional;1;4;2020-12-30;10+ Miles
11012;611;Lauren Walker;45;Married;Female;100000,00;2;0;Bachelors;Management;1;2;2023-03-16;1-2 Miles
11013;543;Ian Jenkins;45;Married;Male;100000,00;2;0;Bachelors;Management;1;3;2023-04-13;0-1 Miles
11014;634;Sydney Bennett;51;Single;Female;100000,00;3;0;Bachelors;Management;0;3;2023-03-23;1-2 Miles
11015;301;Chloe Young;40;Single;Female;30000,00;0;0;Partial College;Skilled Manual;0;1;2023-01-18;5-10 Miles
11016;329;Wyatt Hill;40;Married;Male;30000,00;0;0;Partial College;Skilled Manual;1;1;2023-02-09;5-10 Miles
11017;39;Shannon Wang;75;Single;Female;20000,00;4;0;High School;Skilled Manual;1;2;2021-01-12;5-10 Miles
11018;32;Clarence Rai;69;Single;Male;30000,00;2;0;Partial College;Clerical;1;2;2021-01-17;5-10 Miles
11019;52;Luke Lal;41;Single;Male;40000,00;0;0;High School;Skilled Manual;0;2;2023-02-12;5-10 Miles
11020;53;Jordan King;40;Single;Male;40000,00;0;0;High School;Skilled Manual;0;2;2022-12-29;1-2 Miles
11021;536;Destiny Wilson;40;Single;Female;40000,00;0;0;Partial College;Skilled Manual;0;1;2023-01-23;1-2 Miles
11022;609;Ethan Zhang;40;Married;Male;40000,00;0;0;Partial College;Skilled Manual;1;1;2023-01-20;5-10 Miles
11023;298;Seth Edwards;40;Married;Male;40000,00;0;0;Partial College;Skilled Manual;1;1;2023-02-17;1-2 Miles
11024;311;Russell Xie;40;Married;Male;60000,00;0;0;Partial College;Skilled Manual;1;2;2023-06-27;5-10 Miles
11025;24;Alejandro Beck;73;Married;Male;10000,00;2;1;Partial High School;Clerical;1;2;2021-01-06;1-2 Miles
11026;4;Harold Sai;73;Single;Male;30000,00;2;0;Partial College;Clerical;0;2;2021-01-23;1-2 Miles
11027;40;Jessie Zhao;72;Married;Male;30000,00;2;0;Partial College;Clerical;1;2;2021-01-16;5-10 Miles
11028;17;Jill Jimenez;73;Married;Female;30000,00;2;0;Partial College;Clerical;1;2;2021-01-26;1-2 Miles
11029;32;Jimmy Moreno;72;Married;Male;30000,00;2;0;Partial College;Clerical;1;2;2021-01-19;1-2 Miles
11030;28;Bethany Yuan;66;Married;Female;10000,00;2;1;Partial High School;Clerical;1;2;2021-02-05;1-2 Miles
11031;8;Theresa Ramos;71;Married;Female;20000,00;4;0;High School;Skilled Manual;1;2;2021-02-01;1-2 Miles
11032;35;Denise Stone;72;Married;Female;20000,00;4;0;High School;Skilled Manual;1;2;2021-02-18;1-2 Miles
11033;9;Jaime Nath;66;Married;Male;20000,00;4;0;High School;Skilled Manual;1;2;2021-02-15;5-10 Miles
11034;12;Ebony Gonzalez;72;Married;Female;20000,00;4;0;High School;Skilled Manual;1;2;2021-02-01;5-10 Miles
11035;33;Wendy Dominguez;71;Married;Female;10000,00;2;1;Partial High School;Clerical;1;2;2021-02-06;1-2 Miles
11036;343;Jennifer Russell;40;Married;Female;60000,00;0;0;Partial College;Skilled Manual;1;2;2023-01-22;1-2 Miles
11037;49;Chloe Garcia;41;Single;Female;40000,00;0;0;Partial High School;Clerical;0;2;2023-01-20;5-10 Miles
11038;6;Diana Hernandez;71;Married;Female;10000,00;2;1;Partial High School;Clerical;1;2;2021-02-07;5-10 Miles
11039;19;Marc Martin;70;Married;Male;30000,00;3;0;Partial College;Clerical;1;2;2021-02-07;5-10 Miles
11040;642;Jesse Murphy;41;Married;Male;30000,00;0;0;Partial College;Skilled Manual;1;2;2023-04-03;1-2 Miles
11041;325;Amanda Carter;41;Married;Female;60000,00;0;0;Partial College;Skilled Manual;1;2;2023-01-14;1-2 Miles
11042;338;Megan Sanchez;42;Married;Female;70000,00;0;0;Partial College;Skilled Manual;1;2;2023-01-21;0-1 Miles
11043;325;Nathan Simmons;43;Married;Male;60000,00;0;0;Partial College;Skilled Manual;1;2;2023-05-08;5-10 Miles
11044;25;Adam Flores;70;Married;Male;20000,00;2;1;Partial High School;Clerical;1;2;2021-02-28;1-2 Miles
11045;8;Leonard Nara;69;Single;Male;30000,00;3;0;High School;Skilled Manual;0;2;2023-04-10;1-2 Miles
11046;6;Christine Yuan;69;Married;Female;30000,00;3;0;High School;Skilled Manual;1;2;2021-02-06;5-10 Miles
11047;34;Jaclyn Lu;69;Married;Female;30000,00;3;0;High School;Skilled Manual;0;2;2021-02-03;1-2 Miles
